batch	sid1	sid2	ng1	ng2	ng	pcc	spc
batch1	batch1_H1	TC1	8591	17607	8439	0.6224042137955051	0.5693402223803188
batch1	batch1_G1	TC2	8044	17716	7889	0.5542299191818515	0.49529029741440256
batch1	batch1_F1	TC3	8389	17691	8233	0.5760291056405051	0.5255195457772708
batch1	batch1_E1	TC4	8298	17644	8136	0.5670041404615879	0.5113139156512075
batch1	batch1_D1	TC5	8084	17798	7925	0.5278045732257608	0.48471960313399964
batch1	batch1_C1	TC6	8629	17586	8432	0.5852818293584771	0.5351304318725948
batch1	batch1_B1	TC7	8181	17329	8024	0.5688923789596168	0.5119225739475145
batch1	batch1_A1	TC8	7511	17973	7388	0.5309919222996103	0.4762028708359848
batch1	batch1_H2	TC9	8878	17830	8667	0.5857230481594012	0.5368723215805035
batch1	batch1_G2	TC10	8902	17678	8702	0.5479603364485427	0.5008678768488929
batch1	batch1_F2	TC11	8565	17744	8388	0.5297036771466703	0.48238590336060017
batch1	batch1_E2	TC12	8194	17683	8033	0.5506430333109489	0.5023927262674295
batch1	batch1_D2	TC13	8664	17653	8510	0.5820273714287962	0.5264086933473469
batch1	batch1_C2	TC14	7517	17891	7350	0.5046655092774124	0.4546217196682813
batch1	batch1_B2	TC15	9591	18349	9386	0.6118458039070468	0.5692187230927537
batch1	batch1_A2	TC16	7484	17531	7348	0.5517296070818809	0.4985859747909271
batch1	batch1_H3	TC17	7660	17352	7514	0.5558215083069283	0.49965958665626026
batch1	batch1_G3	TC18	8413	18180	8242	0.5799189357057671	0.5242124188046102
batch1	batch1_F3	TC19	8033	17843	7851	0.5087130954143785	0.4581359736367209
batch1	batch1_E3	TC20	8000	17804	7833	0.554090504389145	0.5078244068972171
batch1	batch1_D3	TC21	7215	17598	7088	0.5181501867655959	0.46538452322700113
batch1	batch1_C3	TC22	7984	17791	7831	0.5644964766873721	0.5045538850181158
batch1	batch1_B3	TC23	8484	18196	8307	0.5314880435791927	0.47856333994338746
batch1	batch1_A3	TC24	7761	17907	7630	0.5623946939407399	0.5029674463153716
batch1	batch1_H4	TC25	8514	17514	8322	0.576708959794907	0.5144340455640712
batch1	batch1_G4	TC26	8741	17845	8573	0.5798169781005605	0.5279353496106067
batch1	batch1_F4	TC27	7388	18046	7249	0.4788409998959312	0.43872935730847856
batch1	batch1_E4	TC28	8481	18006	8336	0.5652391767283134	0.5068997569241332
batch1	batch1_D4	TC29	9146	18174	8923	0.5701643560125361	0.5214245219220096
batch1	batch1_C4	TC30	8753	17531	8540	0.5990547570666955	0.538825228588052
batch1	batch1_B4	TC31	8878	17654	8704	0.6163697548821037	0.5532520488227061
batch1	batch1_A4	TC32	7092	17714	6966	0.5278614684406467	0.46011838677119044
batch1	batch1_H5	TC33	8861	18278	8685	0.5732982315311167	0.5144794253533687
batch1	batch1_G5	TC34	7016	17726	6879	0.4960602207868619	0.451735873115851
batch1	batch1_F5	TC35	9315	17648	9102	0.5741132382446364	0.5255538126853821
batch1	batch1_E5	TC36	8059	18204	7906	0.5280091266507969	0.48273016126855406
batch1	batch1_D5	TC37	8053	17908	7907	0.5428888477290681	0.49220342024399916
batch1	batch1_C5	TC38	8344	17762	8157	0.5553893021980172	0.4990124462599565
batch1	batch1_B5	TC39	8545	17746	8361	0.565998869075234	0.4955736831770188
batch1	batch1_A5	TC40	8532	17823	8350	0.5680202039706764	0.5059950742445373
batch1	batch1_H6	TC41	6887	17469	6738	0.4790167190057295	0.43255650306993043
batch1	batch1_G6	TC42	8080	17785	7899	0.5432018205657407	0.4928321826221104
batch1	batch1_F6	TC43	9111	17763	8937	0.5695930974248269	0.5025736294059725
batch1	batch1_E6	TC44	8940	18319	8753	0.5482644517003616	0.483993239663615
batch1	batch1_D6	TC45	7843	17834	7662	0.5476121716661431	0.48703784301739067
batch1	batch1_C6	TC46	8719	17986	8548	0.5651507446631615	0.4974970896231494
batch1	batch1_B6	TC47	7427	18040	7298	0.5196574607709428	0.45857150329278146
batch1	batch1_A6	TC48	8672	18379	8482	0.5313284511807441	0.46945868308565597
batch1	batch1_H7	TC49	8248	17743	8092	0.5402829971294894	0.4909264994824573
batch1	batch1_G7	TC50	8059	17745	7897	0.5471829130636117	0.49787072567934143
batch1	batch1_F7	TC51	8831	17624	8619	0.5791771417914853	0.5326690541534781
batch1	batch1_G8	TC58	7920	18008	7787	0.5281324628609024	0.4803071070916742
